2;0.468385
3;0.364582
4;0.352966
5;0.484219
6;1.264527
7;0.453058
8;0.52295
9;1.331342
10;0.458174
11;0.452982
12;1.223747
13;0.458887
14;0.484267
15;1.0601
16;0.453003
17;0.483213
18;0.8653
19;0.484225
20;0.483198
21;0.68215
22;0.484881
23;0.59356
24;0.682395
25;0.604704
26;0.681322
27;0.516201
28;0.816778
29;0.8806
30;0.650142
31;1.747139
32;0.873919
33;1.744859
34;0.888355
35;1.669138
36;1.132986
37;1.624614
38;1.500431
39;1.521841
40;1.61584
41;2.044275
42;1.999444
43;2.317951
44;2.330834
45;2.663803
46;3.118773
47;3.14796
48;3.814289
49;3.761728
50;4.003762
51;4.456862
52;4.554993
53;5.374683
54;5.77895
55;5.869172
56;6.51891
57;6.9987
58;7.482309
59;8.418079
60;8.74003
61;9.784889
62;10.631731
63;11.696365
64;11.780523
65;12.77215
66;13.769631
67;13.906045
68;14.960017
69;16.64868
70;18.795843
71;19.026922
72;19.747131
73;20.391035
74;21.355844
75;23.781045
76;25.310187
77;27.70588
78;28.189173
79;30.794411
80;32.148257
81;34.668772
82;37.378736
83;37.838053
84;41.101404
85;42.274376
86;45.081953
87;47.857953
88;55.528507
89;53.767697
90;54.848865
91;58.636376
92;73.358353
93;79.652426
94;68.315924
95;70.275945
96;76.33223
97;77.888326
98;82.10861
99;89.482548
100;90.417853
101;99.280017
